[INFO] 2021-03-19 17:16:27,602 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 17:20:01,668 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 17:20:04,281 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 17:20:06,980 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 17:20:12,131 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 17:22:27,762 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 17:22:34,162 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 17:22:37,106 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 17:22:48,007 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
[INFO] 2021-03-19 17:24:22,292 testScripts.AmazonApp launchApp - Starting execution of the test case for - launchApp
[INFO] 2021-03-19 17:24:26,844 testScripts.AmazonApp launchApp - Test case launchApp passed
[INFO] 2021-03-19 17:24:31,295 testScripts.AmazonApp verifyHamburgerClick - Starting execution of the test case for - verifyHamburgerClick
[INFO] 2021-03-19 17:24:37,753 testScripts.AmazonApp clickOnSettings - Starting execution of the test case for - clickOnSettings
